Num_Steps,Serial_Time,Parallel_Time,Atomic_Time,Serial_Pi,Parallel_Pi,Atomic_Pi
32768,0.000113964080810547,0.00032496452331543,0.0048820972442627,3.14159265366741,3.1415926536674,3.1415926536674
65536,0.000577926635742188,0.000240087509155273,0.00933194160461426,3.14159265360918,3.14159265360919,3.14159265360918
131072,0.000880002975463867,0.000408172607421875,0.0169379711151123,3.14159265359463,3.14159265359463,3.14159265359469
262144,0.000894784927368164,0.000325202941894531,0.0336308479309082,3.14159265359107,3.141592653591,3.14159265359105
524288,0.00180792808532715,0.000622034072875977,0.0722548961639404,3.14159265359011,3.14159265359011,3.14159265359012
1048576,0.00361895561218262,0.00117707252502441,0.154767036437988,3.14159265358979,3.14159265358986,3.14159265358982
2097152,0.00721192359924316,0.00240111351013184,0.370312929153442,3.14159265358981,3.1415926535898,3.1415926535898
4194304,0.0144801139831543,0.00482988357543945,0.765918016433716,3.14159265358945,3.14159265358982,3.1415926535895
8388608,0.0289678573608398,0.0092461109161377,1.54940390586853,3.14159265358937,3.1415926535898,3.14159265358926
16777216,0.0580680370330811,0.0188848972320557,2.61421608924866,3.14159265358996,3.14159265358986,3.14159265358951
33554432,0.115383148193359,0.030566930770874,6.17513608932495,3.14159265359045,3.14159265358975,3.14159265359032
67108864,0.231914043426514,0.0626468658447266,13.1915500164032,3.14159265359101,3.1415926535899,3.14159265359102
134217728,0.458977937698364,0.121715068817139,26.566782951355,3.14159265358981,3.14159265358968,3.14159265358974
