Num_Steps,Serial_Time,Parallel_Time,Serial_Pi,Parallel_Pi
32768,0.000118017196655273,0.000145912170410156,3.14159265366741,3.1415926536674
65536,0.000246047973632812,0.000113010406494141,3.14159265360918,3.14159265360919
131072,0.000475883483886719,0.000184059143066406,3.14159265359463,3.14159265359463
262144,0.000980138778686523,0.000612020492553711,3.14159265359107,3.141592653591
524288,0.00187897682189941,0.000818967819213867,3.14159265359011,3.14159265359011
1048576,0.00379109382629395,0.00160694122314453,3.14159265358979,3.14159265358986
2097152,0.00754904747009277,0.00310087203979492,3.14159265358981,3.1415926535898
4194304,0.0147209167480469,0.00596904754638672,3.14159265358945,3.14159265358982
8388608,0.0606589317321777,0.0108649730682373,3.14159265358937,3.1415926535898
16777216,0.0589330196380615,0.0190701484680176,3.14159265358996,3.14159265358986
33554432,0.11528205871582,0.0333800315856934,3.14159265359045,3.14159265358975
67108864,0.230768203735352,0.0583188533782959,3.14159265359101,3.1415926535899
134217728,0.461304903030396,0.121399164199829,3.14159265358981,3.14159265358968
268435456,0.920891046524048,0.235324859619141,3.14159265358929,3.14159265358965
536870912,1.83519291877747,0.445969104766846,3.14159265358943,3.14159265358974
1073741824,3.67536520957947,0.867754936218262,3.14159265358998,3.14159265358971
2147483648,7.34253406524658,1.84439015388489,3.14159265358977,3.14159265358974
4294967296,14.7137188911438,3.48701000213623,3.14159265358977,3.14159265358978
8589934592,29.9367229938507,8.35806393623352,3.14159265358977,3.14159265358979
17179869184,59.7149128913879,14.9723610877991,3.14159265358948,3.14159265358979
34359738368,118.532390832901,30.7177169322968,3.14159265357818,3.1415926535898
