Num_Steps,Serial_Time,Parallel_Time,For_Reduce_Time,Serial_Pi,Parallel_Pi,For_Reduce_Pi
32768,0.000118971,0.000205994,0.000121117,3.14159265366741,3.1415926536674,3.1415926536674
65536,0.000275135040283203,0.000105857849121094,0.000112056732177734,3.14159265360918,3.14159265360919,3.1415926536092
131072,0.000480890274047852,0.000169038772583008,0.000163078308105469,3.14159265359463,3.14159265359463,3.14159265359464
262144,0.000970840454101562,0.000347137451171875,0.000310897827148438,3.14159265359107,3.141592653591,3.14159265359101
524288,0.00204205513000488,0.000676870346069336,0.000543117523193359,3.14159265359011,3.14159265359011,3.14159265359011
1048576,0.00386595726013184,0.00118589401245117,0.00101304054260254,3.14159265358979,3.14159265358986,3.14159265358986
2097152,0.00748109817504883,0.00266909599304199,0.00196981430053711,3.14159265358981,3.1415926535898,3.1415926535898
4194304,0.0146150588989258,0.00461196899414062,0.00311994552612305,3.14159265358945,3.14159265358982,3.14159265358978
8388608,0.0291070938110352,0.00920486450195312,0.00805807113647461,3.14159265358937,3.1415926535898,3.14159265358974
16777216,0.0586240291595459,0.0166699886322021,0.0116569995880127,3.14159265358996,3.14159265358986,3.14159265358982
33554432,0.117040157318115,0.0316829681396484,0.0225400924682617,3.14159265359045,3.14159265358975,3.14159265358975
67108864,0.23160195350647,0.0616869926452637,0.0423929691314697,3.14159265359101,3.1415926535899,3.14159265359002
134217728,0.530429840087891,0.128244161605835,0.0806369781494141,3.14159265358981,3.14159265358968,3.14159265358975
268435456,0.930095911026001,0.244921207427979,0.156677007675171,3.14159265358929,3.14159265358965,3.14159265358978
536870912,1.85527896881104,0.484080076217651,0.327797889709473,3.14159265358943,3.14159265358974,3.14159265358976
1073741824,3.97097611427307,1.06758284568787,0.610696077346802,3.14159265358998,3.14159265358971,3.14159265358988
2147483648,7.39285206794739,1.86873388290405,1.193608045578,3.14159265358977,3.14159265358974,3.14159265358975
4294967296,14.8438990116119,3.88045692443848,2.70158410072327,3.14159265358977,3.14159265358978,3.14159265358982
8589934592,29.7921009063721,7.64386701583862,4.63622403144836,3.14159265358977,3.14159265358979,3.14159265358982
17179869184,59.1252501010895,15.1809358596802,9.78710508346558,3.14159265358948,3.14159265358979,3.14159265358975
34359738368,119.371200799942,29.2805461883545,19.2623739242554,3.14159265357818,3.1415926535898,3.14159265358959
